사건명,해양사고종류(통계용),위도,경도
모터보트 드림호 기관손상사건,기관손상,37.1166666666667,126.566666666667
모터보트 씨존3호 기관손상사건,기관손상,37.1752777777778,126.604444444444
모터보트 지우와탄해호 침수사건,침수,37.6202777777778,126.301944444444
"낚시어선 금강7호, 고무보트 선명무 충돌사건",충돌,37.1447222222222,126.541666666667
"어선 경성호, 고무보트 에스라인호 충돌사건",충돌,37.1163888888889,126.533611111111
모터보트 더원호 기관손상사건,기관손상,37.0794444444444,126.405277777778
모터보트 연우호 기관손상사건,기관손상,37.3466666666667,126.43
모터보트 이글호 기관손상사건,기관손상,37.3166666666667,126.233333333333
"어선 일광호, 어선 항구2호 충돌사건",충돌,37.0811111111111,126.365833333333
세일링요트 선명무 침몰사건,침몰,37.1902777777778,126.649166666667
모터보트 레이호 운항저해사건,운항저해,37.1002777777778,126.365
모터보트 선명무 기관손상사건,기관손상,37.3261111111111,126.485277777778
모터보트 선명무 운항저해사건,운항저해,37.2608333333333,126.516944444444
모터보트 스타크래프트호 기관손상사건,기관손상,37.4191666666667,126.403611111111
"낚시어선 한일호, 고무보트 선명무 충돌사건",충돌,37.0813888888889,126.5325
모터보트 리더180캣호 기관손상사건,기관손상,37.0930555555556,126.538055555556
모터보트 진이호 기관손상사건,기관손상,37.35,126.283333333333
모터보트 대광1호 부유물감김사건,부유물감김,37.3705555555556,126.366944444444
모터보트 피싱팬더호 기관손상사건,기관손상,37.3666666666667,126.316666666667
모터보트 온정호 기관손상사건,기관손상,37.2666666666667,126.333333333333
어선 제부호 추진축계손상사건,추진축계손상,37.05,126.633333333333
모터보트 시폭스호 추진축계손상사건,추진축계손상,37.325,126.471944444444
어선 명신호 침수사건,침수,37.3438888888889,126.645833333333
모터보트 세광호 추진축계손상사건,추진축계손상,37.1375,126.598055555556
어선 성원호 기관손상사건,기관손상,37.2166666666667,126.45
부선 동인1호 작업원사망사건,안전사고,37.34,126.647777777778
어선 일광호 부유물감김사건,부유물감김,37.3372222222222,126.453333333333
모터보트 덕교11호 기관손상사건,기관손상,37.4544444444444,126.366111111111
모터보트 아미호 침수사건,침수,37.0333333333333,126.556388888889
모터보트 월드호 부유물감김사건,부유물감김,37.0055555555556,126.45
모터보트 보스턴웰러호 기관손상사건,기관손상,37.3216666666667,126.249166666667
"예인선 76해동호의 피예인부선 대원105호, 어선 인광호 충돌사건",충돌,37.4344444444444,126.593333333333
모터보트 해성호 운항저해사건,운항저해,37.1872222222222,126.585277777778
어선 일광호 침수사건,침수,37.4669444444444,126.320833333333
모터보트 유림호 기관손상사건,기관손상,37.3675,126.447777777778
모터보트 선명무 기관손상사건,기관손상,37.0555555555556,126.540555555556
모터보트 판타지아호 기관손상사건,기관손상,37.1627777777778,126.476944444444
레저보트 대한호 전복사건,전복,37.2258333333333,126.154166666667
레저보트 로하라호 운항저해사건,운항저해,37.2538888888889,126.503888888889
모터보트 밍키호 운항저해사건,운항저해,37.3805555555556,126.319444444444
모터보트 민율호 운항저해사건,운항저해,37.3719444444444,126.325
어선 지평선호 기관손상사건,기관손상,37.3280555555556,126.533055555556
모터보트 호비3호 추진축계손상사건,추진축계손상,37.5522222222222,126.891944444444
모터보트 홍도호 기관손상사건,기관손상,37.4388888888889,126.375555555556
어선 장구섬호 추진축계손상사건,추진축계손상,37.1411111111111,126.098333333333
모터보트 엘지엠호 기관손상사건,기관손상,37.5722222222222,126.710555555556
모터보트 풍경호 부유물감김사건,부유물감김,37.1513888888889,126.626944444444
어선 장구섬호 기관손상사건,기관손상,37,126.283333333333
모터보트 포인트호 운항저해사건,운항저해,37.5477777777778,126.415
모터보트 영진호 등 2척 운항저해사건,운항저해,37.5452777777778,126.527222222222
모터보트 씨폭스 기관손상사건,기관손상,37.2369444444444,126.493055555556
낚시어선 순풍호 기관손상사건,기관손상,37.3255555555556,126.271111111111
모터보트 씨스타호 추진축계손상사건,추진축계손상,37.1908333333333,126.265277777778
어선 혜영2호 선원부상사건,안전사고,37.5533333333333,126.393888888889
낚시어선 강산호 기관손상사건,기관손상,37.3194444444444,126.609444444444
모터보트 유진2호 등 2척 추진축계손상사건,추진축계손상,37.2838888888889,126.503055555556
어선 치로곤파스호 부유물감김사건,부유물감김,37.2861111111111,126.516944444444
모터보트 에쿠스호 기관손상사건,기관손상,37.4036111111111,126.542222222222
어선 동신호 기관손상사건,기관손상,37.0094444444444,126.633611111111
낚시어선 김선장좌대호 기관손상사건,기관손상,37.0488888888889,126.558055555556
기타선 페리1호 부유물감김사건,부유물감김,37.0197222222222,126.42
낚시어선 강산호 기관손상사건,기관손상,37.3363888888889,126.637222222222
모터보트 아우라호 기관손상사건,기관손상,37.1291666666667,126.538611111111
어선 마이웨이호 부유물감김사건,부유물감김,37.1752777777778,126.606111111111
어선 새벽호 기관손상사건,기관손상,37.3230555555556,126.655833333333
모터보트 그린호 추진축계손상사건,추진축계손상,37.1241666666667,126.513055555556
모터보트 다복호 운항저해사건,운항저해,37.1427777777778,126.571388888889
모터보트 씨레이185스포츠 기관손상사건,기관손상,37.1352777777778,126.538055555556
어선 일광호 좌초사건,좌초,37.4561111111111,126.414722222222
낚시어선 뉴대신호 좌초사건,좌초,37.2505555555556,126.499166666667
낚시어선 뉴대신호 기관손상사건,기관손상,37.3102777777778,126.250555555556
모터보트 시아호 기관손상사건,기관손상,37.0813888888889,126.463055555556
어선 대양호 운항저해사건,운항저해,37.0625,126.728611111111
양식장관리선 청송호 침수사건,침수,37.1511111111111,126.600555555556
어선 자연2호 전복사건,전복,37.1897222222222,126.646111111111
모터보트 드림1호 추진축계손상사건,추진축계손상,37.0333333333333,126.461666666667
동력요트 이지타임호 기관손상사건,기관손상,37.5936111111111,126.816944444444
레저보트 서해호 기관손상사건,기관손상,37.2166666666667,126.45
어선 은수호 운항저해사건,운항저해,37.425,126.538611111111
모터보트 수빈호 추진축계손상사건,추진축계손상,37.1852777777778,126.641944444444
낚시어선 청룡5호 기관손상사건,기관손상,36.9905555555556,126.745
낚시어선 해성호 기관손상사건,기관손상,37.1580555555556,126.578888888889
모터보트 돌핀호 전복사건,전복,37.4852777777778,126.576111111111
어선 누리호 추진축계손상사건,추진축계손상,37.4833333333333,126.316666666667
낚시어선 용성호 좌초사건,좌초,37.04,126.451944444444
낚시어선 럭키2호 기관손상사건,기관손상,37.0536111111111,126.641388888889
낚시어선 용성호 기관손상사건,기관손상,37.075,126.061111111111
모터보트 대추호 기관손상사건,기관손상,37.1933333333333,126.205555555556
모터보트 더마린호 기관손상사건,기관손상,37.1716666666667,126.551666666667
어선 대동호 좌초사건,좌초,37.5333333333333,126.583333333333
모터보트 우성호 기관손상사건,기관손상,37.0880555555556,126.505
모터보트 놀이터호 운항저해사건,운항저해,37.1930555555556,126.604722222222
레저보트 알파27호 안전저해사건,부유물감김,37.2519444444444,126.503055555556
레저보트 스타라인호 운항저해사건,운항저해,37.4697222222222,126.336111111111
레저보트 태평호 기관손상사건,기관손상,37.3191666666667,126.275555555556
레저보트 경기호 운항저해사건,운항저해,37.3663888888889,126.485833333333
레저보트 대창호 침수사건,침수,37.0486111111111,126.53
어선 수경2호 기관손상사건,기관손상,37.3291666666667,126.530277777778
동력요트 줄루호 기관손상사건,기관손상,37.1447222222222,126.603888888889
모터보트 경은호 기관손상사건,기관손상,37.2333333333333,126.416666666667
모터보트 아드리아호 추진축계손상사건,추진축계손상,37.05,126.454166666667
세일링요트 돈키호 운항저해사건,운항저해,37.6122222222222,126.791388888889
모터보트 해신마린호 기관손상사건,기관손상,37.1944444444444,126.43
낚시어선 창해호 좌초사건,좌초,37.3580555555556,126.502777777778
어선 창해호 부유물감김사건,부유물감김,37.3055555555556,126.227222222222
모터보트 연신내호 기타사건,좌초,37.1655555555556,126.640555555556
모터보트 재원호 부유물감김사건,부유물감김,37.1,126.508055555556
낚시어선 동호 좌초사건,좌초,37.2666666666667,126.516666666667
모터보트 가자호 기관손상사건,기관손상,37.15,126.583333333333
모터보트 성진호 기관손상사건,기관손상,37.0988888888889,126.478888888889
"어선 유동호, 어선 유동2호 침몰사건",침몰,37.4780555555556,126.359722222222
어선 하나호 기관손상사건,기관손상,37.4308333333333,126.556944444444
어선 강남호 침수사건,침수,37.0016666666667,126.453888888889
어선 고흥호 전복사건,전복,37.0038888888889,126.453888888889
레저보트 선명무 기관손상사건,기관손상,37.0919444444444,126.5675
어선 수진호 기관손상사건,기관손상,37.2372222222222,126.425555555556
모터보트 그린호 운항저해사건,운항저해,37.35,126.333333333333
모터보트 카이오호 조타장치손상사건,조타장치손상,37.1869444444444,126.323055555556
어선 대운1호 추진축계손상사건,추진축계손상,37.4775,126.345555555556
어선 새마을2호 기관손상사건,기관손상,37.0838888888889,126.483611111111
어선 새마을2호 기관손상사건,기관손상,37.0283333333333,126.436111111111
낚시어선 인일3호 부유물감김사건,부유물감김,37.3725,126.325
어선 옹진3호 기관손상사건,기관손상,37.1833333333333,126.25
양식장관리선 석천5호 전복사건,전복,37.1113888888889,126.675277777778
어선 석천5호 화재사건,화재 · 폭발,37.1113888888889,126.674444444444
어선 삼성호 조타장치손상사건,조타장치손상,37.4,126.55
어선 삼성호 운항저해사건,운항저해,37.5333333333333,126.55
어선 평안1호 조타장치손상사건,조타장치손상,37.3436111111111,126.666944444444
모터보트 향기호 추진축계손상사건,추진축계손상,37.1063888888889,126.488333333333
레저보트 시보호 침수사건,침수,37.1833333333333,126.1
모터보트 제이-0613호 운항저해사건,운항저해,37.2236111111111,126.483888888889
모터보트 아델라호 추진축계손상사건,추진축계손상,37.0016666666667,126.34
모터보트 연신내호 운항저해사건,운항저해,37.1855555555556,126.6225
양식장관리선 제일호 화재사건,화재 · 폭발,37.18,126.63
어선 순풍호 기관손상사건,기관손상,37.03,126.696944444444
어선 일광호 부유물감김사건,부유물감김,37.2888888888889,126.525
기타선 삼양티2호 등 3척 충돌사건,충돌,37.1883333333333,126.651111111111
동력요트 오션마인드호 등 3척 충돌ㆍ부두접촉사건,충돌,37.1905555555556,126.649722222222
어선 동원호 기관손상사건,기관손상,37.22,126.472777777778
어선 대성호 침몰사건,침몰,37.0152777777778,126.460277777778
모터보트 시지에스 운항저해사건,운항저해,37.4666666666667,126.35
어선 행운2호 기관손상사건,기관손상,37.3241666666667,126.269166666667
모터보트 에스오디77호 추진축계손상사건,추진축계손상,37.3391666666667,126.305
모터보트 동성호 기관손상사건,기관손상,37.08,126.5825
모터보트 동성호 침몰사건,침몰,37.1244444444444,126.617777777778
어선 대풍호 안전저해사건,부유물감김,37.1852777777778,126.498333333333
어선 봉민호 기관손상사건,기관손상,37.0333333333333,126.416666666667
모터보트 청일24호 기관손상사건,기관손상,37.1147222222222,126.451111111111
모터보트 엘미르호 추진축계손상사건,추진축계손상,37.3883333333333,126.338055555556
어선 파라호 기관손상사건,기관손상,37.0166666666667,126.683333333333
동력요트 리예카호 운항저해사건,운항저해,37.405,126.433333333333
어선 정오호 부유물감김사건,부유물감김,37.2833333333333,126.516666666667
레저보트 화이트샤크호 기관손상사건,기관손상,37.4119444444444,126.393055555556
모터보트 행운호 기관손상사건,기관손상,37.0372222222222,126.433611111111
모터보트 훼미리호 기관손상사건,기관손상,37.115,126.536388888889
세일링요트 카이네틱호 부유물감김사건,부유물감김,37.1544444444444,126.537777777778
모터보트 방탄호 운항저해사건,운항저해,37.4083333333333,126.400277777778
모터보트 연수호 운항저해사건,운항저해,37.42,126.558888888889
모터보트 레미호 기관손상사건,기관손상,37.1575,126.514444444444
모터보트 씨그린호 운항저해사건,운항저해,37.1127777777778,126.523333333333
모터보트 서영호 기관손상사건,기관손상,37.1863888888889,126.641111111111
모터보트 해피호 운항저해사건,운항저해,37.4383333333333,126.361944444444
모터보트 대지호 기관손상사건,기관손상,37.0588888888889,126.459444444444
모터보트 오션마스터호 기관손상사건,기관손상,37.4172222222222,126.426111111111
