id,left,top,right,bottom
467,902163.511000000056811,1930064.378900000127032,905163.511000000056811,1927064.378900000127032
468,902163.511000000056811,1927064.378900000127032,905163.511000000056811,1924064.378900000127032
469,902163.511000000056811,1924064.378900000127032,905163.511000000056811,1921064.378900000127032
470,902163.511000000056811,1921064.378900000127032,905163.511000000056811,1918064.378900000127032
471,902163.511000000056811,1918064.378900000127032,905163.511000000056811,1915064.378900000127032
472,902163.511000000056811,1915064.378900000127032,905163.511000000056811,1912064.378900000127032
473,902163.511000000056811,1912064.378900000127032,905163.511000000056811,1909064.378900000127032
474,902163.511000000056811,1909064.378900000127032,905163.511000000056811,1906064.378900000127032
475,902163.511000000056811,1906064.378900000127032,905163.511000000056811,1903064.378900000127032
476,902163.511000000056811,1903064.378900000127032,905163.511000000056811,1900064.378900000127032
477,902163.511000000056811,1900064.378900000127032,905163.511000000056811,1897064.378900000127032
478,902163.511000000056811,1897064.378900000127032,905163.511000000056811,1894064.378900000127032
479,902163.511000000056811,1894064.378900000127032,905163.511000000056811,1891064.378900000127032
480,902163.511000000056811,1891064.378900000127032,905163.511000000056811,1888064.378900000127032
484,905163.511000000056811,1951064.378900000127032,908163.511000000056811,1948064.378900000127032
485,905163.511000000056811,1948064.378900000127032,908163.511000000056811,1945064.378900000127032
486,905163.511000000056811,1945064.378900000127032,908163.511000000056811,1942064.378900000127032
489,905163.511000000056811,1936064.378900000127032,908163.511000000056811,1933064.378900000127032
490,905163.511000000056811,1933064.378900000127032,908163.511000000056811,1930064.378900000127032
491,905163.511000000056811,1930064.378900000127032,908163.511000000056811,1927064.378900000127032
492,905163.511000000056811,1927064.378900000127032,908163.511000000056811,1924064.378900000127032
493,905163.511000000056811,1924064.378900000127032,908163.511000000056811,1921064.378900000127032
494,905163.511000000056811,1921064.378900000127032,908163.511000000056811,1918064.378900000127032
496,905163.511000000056811,1915064.378900000127032,908163.511000000056811,1912064.378900000127032
497,905163.511000000056811,1912064.378900000127032,908163.511000000056811,1909064.378900000127032
498,905163.511000000056811,1909064.378900000127032,908163.511000000056811,1906064.378900000127032
499,905163.511000000056811,1906064.378900000127032,908163.511000000056811,1903064.378900000127032
500,905163.511000000056811,1903064.378900000127032,908163.511000000056811,1900064.378900000127032
501,905163.511000000056811,1900064.378900000127032,908163.511000000056811,1897064.378900000127032
502,905163.511000000056811,1897064.378900000127032,908163.511000000056811,1894064.378900000127032
503,905163.511000000056811,1894064.378900000127032,908163.511000000056811,1891064.378900000127032
504,905163.511000000056811,1891064.378900000127032,908163.511000000056811,1888064.378900000127032
511,908163.511000000056811,1942064.378900000127032,911163.511000000056811,1939064.378900000127032
513,908163.511000000056811,1936064.378900000127032,911163.511000000056811,1933064.378900000127032
514,908163.511000000056811,1933064.378900000127032,911163.511000000056811,1930064.378900000127032
515,908163.511000000056811,1930064.378900000127032,911163.511000000056811,1927064.378900000127032
516,908163.511000000056811,1927064.378900000127032,911163.511000000056811,1924064.378900000127032
517,908163.511000000056811,1924064.378900000127032,911163.511000000056811,1921064.378900000127032
519,908163.511000000056811,1918064.378900000127032,911163.511000000056811,1915064.378900000127032
520,908163.511000000056811,1915064.378900000127032,911163.511000000056811,1912064.378900000127032
521,908163.511000000056811,1912064.378900000127032,911163.511000000056811,1909064.378900000127032
522,908163.511000000056811,1909064.378900000127032,911163.511000000056811,1906064.378900000127032
524,908163.511000000056811,1903064.378900000127032,911163.511000000056811,1900064.378900000127032
525,908163.511000000056811,1900064.378900000127032,911163.511000000056811,1897064.378900000127032
526,908163.511000000056811,1897064.378900000127032,911163.511000000056811,1894064.378900000127032
531,911163.511000000056811,1954064.378900000127032,914163.511000000056811,1951064.378900000127032
532,911163.511000000056811,1951064.378900000127032,914163.511000000056811,1948064.378900000127032
537,911163.511000000056811,1936064.378900000127032,914163.511000000056811,1933064.378900000127032
538,911163.511000000056811,1933064.378900000127032,914163.511000000056811,1930064.378900000127032
539,911163.511000000056811,1930064.378900000127032,914163.511000000056811,1927064.378900000127032
540,911163.511000000056811,1927064.378900000127032,914163.511000000056811,1924064.378900000127032
541,911163.511000000056811,1924064.378900000127032,914163.511000000056811,1921064.378900000127032
542,911163.511000000056811,1921064.378900000127032,914163.511000000056811,1918064.378900000127032
543,911163.511000000056811,1918064.378900000127032,914163.511000000056811,1915064.378900000127032
545,911163.511000000056811,1912064.378900000127032,914163.511000000056811,1909064.378900000127032
546,911163.511000000056811,1909064.378900000127032,914163.511000000056811,1906064.378900000127032
547,911163.511000000056811,1906064.378900000127032,914163.511000000056811,1903064.378900000127032
548,911163.511000000056811,1903064.378900000127032,914163.511000000056811,1900064.378900000127032
